                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7584,                 2.0768,                 1.9177,                0.29329,                0.24656,                0.16335,                0.06044,                 2.5656,                 2.6892,                 3.0987,             0.00066611,             0.00066611,             0.00066611
                      2,                 1.8435,                 2.0497,                 1.9672,                0.49828,                0.50155,                0.45593,                0.19766,                  1.861,                  2.032,                 2.0074,              0.0013108,              0.0013108,              0.0013108
                      3,                 1.7319,                 1.9097,                 1.8921,                0.39811,                0.43282,                0.37986,                0.16453,                 1.8355,                 1.8456,                 1.9686,              0.0019335,              0.0019335,              0.0019335
                      4,                 1.6782,                 1.8287,                 1.8427,                0.52415,                0.55309,                0.52234,                0.25704,                  1.681,                 1.5867,                 1.8362,               0.001901,               0.001901,               0.001901
                      5,                   1.62,                 1.6973,                 1.7805,                 0.6445,                0.58231,                0.61901,                0.31524,                 1.5897,                 1.4642,                 1.7758,               0.001868,               0.001868,               0.001868
                      6,                 1.5678,                 1.6406,                 1.7683,                0.67669,                0.57486,                0.62812,                0.33861,                 1.5595,                 1.3562,                 1.7347,               0.001835,               0.001835,               0.001835
                      7,                 1.5612,                 1.5663,                 1.7319,                0.53667,                0.56192,                0.53844,                0.27089,                  1.584,                 1.4918,                 1.7504,               0.001802,               0.001802,               0.001802
                      8,                 1.4853,                 1.5034,                 1.7029,                0.64745,                0.60817,                0.61369,                0.33712,                 1.4691,                  1.368,                 1.6762,               0.001769,               0.001769,               0.001769
                      9,                 1.4678,                 1.4524,                 1.6675,                0.67673,                 0.6255,                0.67034,                0.38435,                  1.423,                 1.2535,                 1.6595,               0.001736,               0.001736,               0.001736
                     10,                 1.3807,                 1.4042,                 1.6364,                0.67509,                0.64949,                0.66423,                 0.3763,                 1.4138,                 1.2415,                 1.6408,               0.001703,               0.001703,               0.001703
                     11,                 1.3934,                 1.3418,                 1.6439,                0.75914,                0.67628,                0.73022,                0.41456,                 1.3907,                 1.1821,                 1.6179,                0.00167,                0.00167,                0.00167
                     12,                 1.3927,                 1.3638,                 1.6325,                0.69432,                0.66326,                0.69487,                0.40012,                 1.3748,                 1.2257,                 1.5951,               0.001637,               0.001637,               0.001637
                     13,                 1.3631,                   1.29,                  1.612,                0.73538,                0.69525,                0.72215,                0.42035,                 1.3777,                 1.1392,                 1.5999,               0.001604,               0.001604,               0.001604
                     14,                 1.3536,                 1.2808,                 1.5908,                0.75867,                0.67174,                 0.7364,                0.44179,                 1.3429,                 1.0901,                 1.5577,               0.001571,               0.001571,               0.001571
                     15,                 1.3322,                 1.2295,                 1.5853,                0.77245,                0.67348,                0.74539,                0.44458,                  1.349,                 1.0848,                 1.5839,               0.001538,               0.001538,               0.001538
                     16,                 1.3099,                 1.2202,                 1.5738,                0.81707,                0.69614,                0.77627,                 0.4695,                 1.2992,                 1.0563,                 1.5264,               0.001505,               0.001505,               0.001505
                     17,                 1.2898,                 1.1783,                 1.5533,                0.76557,                0.70635,                0.75811,                0.46436,                 1.3104,                 1.0175,                  1.555,               0.001472,               0.001472,               0.001472
                     18,                 1.2908,                 1.2024,                 1.5598,                0.75612,                0.70857,                0.75296,                0.46819,                 1.2942,                 1.0438,                 1.5321,               0.001439,               0.001439,               0.001439
                     19,                 1.2773,                 1.1815,                 1.5513,                0.77972,                0.69924,                0.76473,                0.47752,                 1.2635,                 1.0322,                 1.5105,               0.001406,               0.001406,               0.001406
                     20,                 1.2507,                 1.1573,                 1.5249,                0.78857,                 0.7075,                0.77685,                0.47586,                 1.3067,                 1.0228,                 1.5571,               0.001373,               0.001373,               0.001373
                     21,                 1.2431,                 1.1326,                 1.5178,                0.79646,                0.71124,                0.77862,                0.48077,                 1.2622,                0.96784,                 1.4954,                0.00134,                0.00134,                0.00134
                     22,                 1.2164,                  1.111,                 1.5114,                0.80291,                 0.7139,                0.79052,                0.49571,                 1.2663,                0.96445,                 1.5146,               0.001307,               0.001307,               0.001307
                     23,                 1.2402,                 1.1114,                 1.5168,                0.80673,                 0.7306,                0.80202,                0.49988,                 1.2352,                0.95876,                 1.4759,               0.001274,               0.001274,               0.001274
                     24,                 1.2027,                  1.074,                 1.4936,                0.80326,                0.70502,                0.77973,                0.48238,                 1.2685,                0.95054,                 1.5055,               0.001241,               0.001241,               0.001241
                     25,                 1.1934,                 1.0507,                 1.4796,                0.77344,                0.73256,                0.79084,                0.50486,                 1.2257,                0.92594,                 1.4859,               0.001208,               0.001208,               0.001208
                     26,                 1.1914,                 1.0269,                 1.4848,                0.79009,                0.71257,                0.78626,                0.49973,                 1.2189,                0.92102,                 1.4702,               0.001175,               0.001175,               0.001175
                     27,                 1.1762,                 1.0366,                 1.4826,                0.79661,                0.74121,                0.79634,                0.50575,                 1.2108,                0.90091,                  1.452,               0.001142,               0.001142,               0.001142
                     28,                 1.1603,                 1.0274,                  1.458,                0.80768,                0.70991,                0.78447,                0.50647,                 1.1986,                0.93482,                 1.4615,               0.001109,               0.001109,               0.001109
                     29,                 1.1382,                0.97625,                  1.449,                0.81175,                0.73212,                0.79883,                0.51517,                 1.1819,                0.88554,                 1.4394,               0.001076,               0.001076,               0.001076
                     30,                 1.1636,                 1.0233,                 1.4583,                0.79257,                 0.7219,                0.79406,                0.51507,                 1.1942,                0.89603,                 1.4506,               0.001043,               0.001043,               0.001043
                     31,                 1.1434,                0.98832,                 1.4446,                0.79542,                0.73755,                0.80175,                0.52614,                 1.1768,                0.85873,                 1.4442,                0.00101,                0.00101,                0.00101
                     32,                 1.1375,                0.96745,                 1.4405,                0.82104,                 0.7339,                 0.8087,                  0.522,                 1.1623,                0.86219,                 1.4157,               0.000977,               0.000977,               0.000977
                     33,                   1.11,                0.94151,                 1.4231,                0.78392,                0.74145,                0.79617,                0.51725,                 1.1726,                0.86927,                 1.4398,               0.000944,               0.000944,               0.000944
                     34,                 1.1286,                0.97591,                 1.4292,                0.81076,                 0.7299,                 0.8051,                0.51202,                   1.19,                0.87342,                 1.4313,               0.000911,               0.000911,               0.000911
                     35,                 1.1037,                0.94533,                 1.4138,                0.81538,                0.73701,                0.80699,                0.52192,                 1.1707,                0.87363,                 1.4482,               0.000878,               0.000878,               0.000878
                     36,                 1.0756,                0.91865,                 1.4026,                0.80551,                 0.7299,                 0.8113,                0.53455,                 1.1549,                0.82573,                 1.4135,               0.000845,               0.000845,               0.000845
                     37,                 1.0767,                0.89538,                 1.3892,                0.81865,                0.75403,                0.81957,                0.53826,                 1.1436,                0.82624,                 1.4184,               0.000812,               0.000812,               0.000812
                     38,                 1.0946,                0.92701,                 1.4037,                0.81042,                0.75389,                0.82135,                0.54012,                 1.1375,                0.80588,                 1.4043,               0.000779,               0.000779,               0.000779
                     39,                 1.0689,                0.89808,                 1.3938,                0.85095,                0.73523,                0.82477,                0.53879,                  1.163,                0.83968,                 1.4367,               0.000746,               0.000746,               0.000746
                     40,                 1.0781,                0.90238,                 1.4003,                0.79598,                0.77343,                0.82723,                0.54427,                 1.1618,                0.81242,                 1.4258,               0.000713,               0.000713,               0.000713
                     41,                 1.0335,                0.83705,                 1.3671,                0.82415,                0.74545,                0.82335,                0.54374,                 1.1614,                0.80833,                 1.4245,                0.00068,                0.00068,                0.00068
                     42,                 1.0548,                0.86897,                 1.3716,                0.82117,                0.76188,                0.82792,                0.54822,                 1.1365,                0.80295,                 1.4076,               0.000647,               0.000647,               0.000647
                     43,                 1.0314,                 0.8668,                 1.3612,                0.83042,                 0.7527,                0.82851,                0.54284,                 1.1417,                0.80451,                 1.4169,               0.000614,               0.000614,               0.000614
                     44,                  1.021,                0.83524,                 1.3614,                 0.8399,                0.74189,                0.82881,                0.54184,                 1.1503,                 0.7843,                 1.4097,               0.000581,               0.000581,               0.000581
