                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3034,                 1.6562,                 1.3573,                0.64615,                0.58003,                0.60386,                0.32436,                 1.5137,                 1.5672,                 1.5346,             0.00066219,             0.00066219,             0.00066219
                      2,                 1.4277,                 1.4298,                 1.4426,                0.62743,                0.54615,                0.58575,                0.27035,                 1.7498,                 1.6767,                 1.7083,              0.0013157,              0.0013157,              0.0013157
                      3,                 1.4435,                  1.315,                 1.4457,                 0.7259,                 0.5753,                0.62693,                0.30782,                 1.7131,                  1.596,                 1.7525,               0.001956,               0.001956,               0.001956
                      4,                 1.4256,                 1.2943,                 1.4545,                0.73016,                0.65127,                0.71133,                0.38645,                 1.5214,                 1.2655,                 1.5737,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4028,                 1.1914,                 1.4292,                0.74034,                0.62994,                0.68553,                0.38128,                 1.4673,                  1.187,                 1.5185,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3795,                 1.1724,                 1.4017,                0.74221,                0.67614,                0.72547,                0.41236,                 1.4413,                  1.126,                 1.4852,               0.001901,               0.001901,               0.001901
                      7,                 1.3244,                 1.1156,                 1.3759,                0.66456,                0.61795,                0.66605,                0.38887,                 1.4387,                 1.4051,                 1.4919,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3097,                 1.0762,                 1.3631,                0.75193,                0.69036,                0.74887,                0.45157,                 1.3546,                 1.0474,                 1.4216,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3046,                 1.0592,                 1.3595,                 0.7594,                0.64904,                0.71991,                0.43566,                 1.4015,                 1.1255,                 1.4682,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2838,                 1.0117,                 1.3424,                0.79135,                0.69586,                0.77734,                0.45966,                 1.3851,                 0.9963,                 1.4267,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2496,                0.99809,                  1.334,                0.78286,                0.71035,                0.77182,                  0.456,                  1.345,                 1.0623,                 1.3936,               0.001802,               0.001802,               0.001802
                     12,                 1.2602,                0.99021,                 1.3351,                0.77543,                0.69794,                 0.7676,                0.47496,                 1.3315,                 1.0268,                 1.4266,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2444,                0.95234,                 1.3201,                0.81403,                0.70781,                 0.7865,                0.49092,                 1.3028,                0.99431,                  1.355,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2273,                 0.9576,                 1.3026,                0.78958,                 0.6486,                0.72882,                0.43862,                 1.3939,                 1.1686,                 1.4752,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2229,                0.93968,                 1.3062,                0.78821,                0.73903,                0.80412,                0.50534,                 1.2724,                0.92176,                 1.3447,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2043,                0.92446,                 1.2991,                0.81064,                0.71657,                0.80367,                0.48955,                 1.3023,                 0.9939,                  1.368,               0.001703,               0.001703,               0.001703
                     17,                 1.1902,                0.92301,                 1.2889,                0.79699,                0.73923,                0.80312,                0.49863,                 1.2897,                0.95959,                 1.3724,              0.0016832,              0.0016832,              0.0016832
